id,sourceFile,sourceIndex,sourceType,section,domain,skill,difficulty,questionType,practicePool,priority,reason,severity,issues,warnings,depthFlags,explanationWords,correctExplanationWords,distractorExplanationCount,topicKey
antigravity-6248d219,antigravity-bank.json,2632,antigravity,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,explanation_does_not_mention_correct_answer,thin_rw_explanation:1_words;generic_distractor_teaching,37,1,3,accomplishes
antigravity-84315185,antigravity-bank.json,2635,antigravity,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,explanation_does_not_mention_correct_answer,thin_rw_explanation:1_words;generic_distractor_teaching,37,1,3,accomplishes
antigravity-87bfafc2,antigravity-bank.json,2858,antigravity,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,explanation_does_not_mention_correct_answer,thin_rw_explanation:1_words;generic_distractor_teaching,37,1,3,mushroom-based
antigravity-9bda9db9,antigravity-bank.json,2810,antigravity,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,explanation_does_not_mention_correct_answer,thin_rw_explanation:1_words;generic_distractor_teaching,37,1,3,neonicotinoids
antigravity-ff13c6ac,antigravity-bank.json,2597,antigravity,Reading and Writing,Craft and Structure,Text Structure and Purpose,Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,explanation_does_not_mention_correct_answer,thin_rw_explanation:1_words;generic_distractor_teaching,37,1,3,recommendation
antigravity-0309fc48,antigravity-bank.json,2497,antigravity,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,explanation_does_not_mention_correct_answer,thin_rw_explanation:2_words;generic_distractor_teaching,38,2,3,historically
antigravity-0324fc01,antigravity-bank.json,2408,antigravity,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,explanation_does_not_mention_correct_answer,thin_rw_explanation:2_words;generic_distractor_teaching,38,2,3,firefly-watching
antigravity-0c300683,antigravity-bank.json,2590,antigravity,Reading and Writing,Expression of Ideas,Transitions,Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,explanation_does_not_mention_correct_answer,thin_rw_explanation:2_words;generic_distractor_teaching,38,2,3,facilitated
antigravity-0c3631f6,antigravity-bank.json,2494,antigravity,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,explanation_does_not_mention_correct_answer,thin_rw_explanation:2_words;generic_distractor_teaching,38,2,3,neonicotinoids
antigravity-15f9a9fb,antigravity-bank.json,2601,antigravity,Reading and Writing,Information and Ideas,Central Ideas and Details,Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,explanation_does_not_mention_correct_answer,thin_rw_explanation:2_words;generic_distractor_teaching,38,2,3,dunning-kruger
antigravity-62cd4f42,antigravity-bank.json,2636,antigravity,Reading and Writing,Craft and Structure,Text Structure and Purpose,Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,explanation_does_not_mention_correct_answer,thin_rw_explanation:2_words;generic_distractor_teaching,38,2,3,limitations
antigravity-714e5b53,antigravity-bank.json,2672,antigravity,Reading and Writing,Craft and Structure,Cross-Text Connections,Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,explanation_does_not_mention_correct_answer,thin_rw_explanation:2_words;generic_distractor_teaching,38,2,3,callbacks
antigravity-772d087d,antigravity-bank.json,2606,antigravity,Reading and Writing,Information and Ideas,Inferences,Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,explanation_does_not_mention_correct_answer,thin_rw_explanation:2_words;generic_distractor_teaching,38,2,3,wellbeing
antigravity-773536a3,antigravity-bank.json,2769,antigravity,Reading and Writing,Craft and Structure,Words in Context,Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,,thin_rw_explanation:2_words;generic_distractor_teaching,38,2,3,assumptions
antigravity-79a42729,antigravity-bank.json,2333,antigravity,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,explanation_does_not_mention_correct_answer,thin_rw_explanation:2_words;generic_distractor_teaching,38,2,3,international
antigravity-85f99091,antigravity-bank.json,2576,antigravity,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,explanation_does_not_mention_correct_answer,thin_rw_explanation:2_words;generic_distractor_teaching,38,2,3,accomplishes
antigravity-8b90ca24,antigravity-bank.json,2584,antigravity,Reading and Writing,Standard English Conventions,"Form, Structure, and Sense",Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,explanation_does_not_mention_correct_answer,thin_rw_explanation:2_words;generic_distractor_teaching,38,2,3,construction
antigravity-8e4cf016,antigravity-bank.json,2409,antigravity,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,explanation_does_not_mention_correct_answer,thin_rw_explanation:2_words;generic_distractor_teaching,38,2,3,approximately
antigravity-9408b3d0,antigravity-bank.json,2495,antigravity,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,explanation_does_not_mention_correct_answer,thin_rw_explanation:2_words;generic_distractor_teaching,38,2,3,satisfaction
antigravity-c85ea4d0,antigravity-bank.json,2685,antigravity,Reading and Writing,Information and Ideas,Central Ideas and Details,Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,explanation_does_not_mention_correct_answer,thin_rw_explanation:2_words;generic_distractor_teaching,38,2,3,obsolescence
antigravity-d0cdede1,antigravity-bank.json,2412,antigravity,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,explanation_does_not_mention_correct_answer,thin_rw_explanation:2_words;generic_distractor_teaching,38,2,3,deterministic
antigravity-d47dfe23,antigravity-bank.json,2771,antigravity,Reading and Writing,Craft and Structure,Text Structure and Purpose,Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,explanation_does_not_mention_correct_answer,thin_rw_explanation:2_words;generic_distractor_teaching,38,2,3,organizes
