id,bankFile,section,domain,skill,difficulty,sourceSignalId,sourceReference,practicePool,skeletonId,skeletonRank,skeletonSize,verdict,issues,prompt,correctAnswer,correctChoice
kaplan-ai-math-001,kaplan-sat-math-ai-bank.json,Math,Algebra,Linear equations in one variable,Easy,kaplan-sat-math-prep,data/SAT-Kaplan Test Prep.pdf,core_pool,skel-f6a30749,1,1,fail,missing_current_content_audit_version,"If 2x - 9 = -3, what is the value of x?",D,3
kaplan-ai-math-002,kaplan-sat-math-ai-bank.json,Math,Algebra,Linear equations in one variable,Easy,kaplan-sat-math-prep,data/SAT-Kaplan Test Prep.pdf,hidden_duplicate,skel-8364fdf4,18,38,fail,missing_current_content_audit_version,"If 3x - 4 = 14, what is the value of x?",C,6
kaplan-ai-math-003,kaplan-sat-math-ai-bank.json,Math,Algebra,Linear equations in one variable,Easy,kaplan-sat-math-prep,data/SAT-Kaplan Test Prep.pdf,hidden_duplicate,skel-3af9a6ca,14,35,fail,missing_current_content_audit_version,"If 4x + 1 = 37, what is the value of x?",B,9
kaplan-ai-math-004,kaplan-sat-math-ai-bank.json,Math,Algebra,Linear equations in one variable,Easy,kaplan-sat-math-prep,data/SAT-Kaplan Test Prep.pdf,hidden_duplicate,skel-3af9a6ca,15,35,fail,missing_current_content_audit_version,"If 5x + 6 = 66, what is the value of x?",A,12
kaplan-ai-math-005,kaplan-sat-math-ai-bank.json,Math,Algebra,Linear equations in one variable,Easy,kaplan-sat-math-prep,data/SAT-Kaplan Test Prep.pdf,hidden_duplicate,skel-8364fdf4,19,38,fail,missing_current_content_audit_version,"If 6x - 8 = 82, what is the value of x?",D,15
kaplan-ai-math-006,kaplan-sat-math-ai-bank.json,Math,Algebra,Linear equations in one variable,Easy,kaplan-sat-math-prep,data/SAT-Kaplan Test Prep.pdf,hidden_duplicate,skel-8364fdf4,20,38,fail,missing_current_content_audit_version,"If 7x - 3 = 123, what is the value of x?",C,18
kaplan-ai-math-007,kaplan-sat-math-ai-bank.json,Math,Algebra,Linear equations in one variable,Easy,kaplan-sat-math-prep,data/SAT-Kaplan Test Prep.pdf,hidden_duplicate,skel-3af9a6ca,16,35,fail,missing_current_content_audit_version,"If 8x + 2 = 34, what is the value of x?",B,4
kaplan-ai-math-008,kaplan-sat-math-ai-bank.json,Math,Algebra,Linear equations in one variable,Easy,kaplan-sat-math-prep,data/SAT-Kaplan Test Prep.pdf,hidden_duplicate,skel-3af9a6ca,17,35,fail,missing_current_content_audit_version,"If 9x + 7 = 70, what is the value of x?",A,7
kaplan-ai-math-009,kaplan-sat-math-ai-bank.json,Math,Algebra,Linear equations in one variable,Easy,kaplan-sat-math-prep,data/SAT-Kaplan Test Prep.pdf,hidden_duplicate,skel-8364fdf4,21,38,fail,missing_current_content_audit_version,"If 2x - 7 = 13, what is the value of x?",D,10
kaplan-ai-math-010,kaplan-sat-math-ai-bank.json,Math,Algebra,Linear equations in one variable,Easy,kaplan-sat-math-prep,data/SAT-Kaplan Test Prep.pdf,hidden_duplicate,skel-8364fdf4,22,38,fail,missing_current_content_audit_version,"If 3x - 2 = 37, what is the value of x?",C,13
