id,sourceFile,sourceIndex,sourceType,section,domain,skill,difficulty,questionType,correctAnswer,reviewStatus,visibility,publicationStatus,severity,issues,warnings,governance,topicKey,skeletonKey
antigravity-3313e793,antigravity-bank.json,0,antigravity,Reading and Writing,Craft and Structure,Cross-Text Connections,Hard,multiple_choice,C,reviewed,public_candidate,public_candidate_reviewed,pass,,,,carbon,text # deep rooted perennial plants such as certain grasses and legumes are increasingly recognized for their critical role in mitigating climate change by extending far into the s
antigravity-f9d22161,antigravity-bank.json,1,antigravity,Reading and Writing,Craft and Structure,Cross-Text Connections,Hard,multiple_choice,D,reviewed,public_candidate,public_candidate_reviewed,pass,,,,coastal,text # archaeological findings suggest early human migration out of africa predominantly followed coastal routes the abundance of shell middens and fish bones found along ancient s
antigravity-e9d4c637,antigravity-bank.json,2,antigravity,Reading and Writing,Craft and Structure,Cross-Text Connections,Hard,multiple_choice,B,reviewed,public_candidate,public_candidate_reviewed,pass,,,,platforms,text # many studies suggest that social media platforms exacerbate political polarization by creating echo chambers algorithms prioritize content users are likely to agree with thu
antigravity-f077136f,antigravity-bank.json,3,antigravity,Reading and Writing,Craft and Structure,Cross-Text Connections,Hard,multiple_choice,B,reviewed,public_candidate,public_candidate_reviewed,pass,,,,artificial,text # artificial light at night alan is v pervasive pollutant profoundly disrupting nocturnal ecosystems globally studies consistently show that alan interferes with the migration
antigravity-ed45fe8d,antigravity-bank.json,4,antigravity,Reading and Writing,Craft and Structure,Cross-Text Connections,Hard,multiple_choice,B,reviewed,public_candidate,public_candidate_reviewed,pass,,,,sophisticated,text # the integration of artificial intelligence into artistic practice heralds v new era of creative exploration ai tools can generate novel forms suggest unexpected color palett
antigravity-72e8436f,antigravity-bank.json,5,antigravity,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,Hard,multiple_choice,B,reviewed,public_candidate,public_candidate_reviewed,pass,,,,bioluminescence,while researching v topic v student has taken the following notes bioluminescence is light produced by v chemical reaction within v living organism many deep sea creatures like ang
antigravity-08d47d6b,antigravity-bank.json,6,antigravity,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,Hard,multiple_choice,C,reviewed,public_candidate,public_candidate_reviewed,pass,,,,bioluminescence,while researching v topic v student has taken the following notes bioluminescence is the emission of light by v living organism through v chemical reaction over # species of fungi 
antigravity-6576b981,antigravity-bank.json,7,antigravity,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,Hard,multiple_choice,B,reviewed,public_candidate,public_candidate_reviewed,pass,,,,bioluminescence,while researching the fascinating adaptations of marine life v student has taken the following notes bioluminescence is the production and emission of light by v living organism ma
antigravity-1d29deb1,antigravity-bank.json,8,antigravity,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,Hard,multiple_choice,A,reviewed,public_candidate,public_candidate_reviewed,pass,,,,bioluminescence,while researching v topic v student has taken the following notes many species of fungi exhibit bioluminescence emitting v green or yellowish green light the light is produced by v
antigravity-1e56c93c,antigravity-bank.json,9,antigravity,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,Hard,multiple_choice,C,reviewed,public_candidate,public_candidate_reviewed,pass,,,,bioluminescence,while researching the phenomenon of bioluminescence in marine life v student has taken the following notes bioluminescence is the emission of light by v living organism typically t
antigravity-9caa993b,antigravity-bank.json,10,antigravity,Math,Problem-Solving and Data Analysis,Percentages,Hard,student_produced_response,45.05,reviewed,public_candidate,public_candidate_reviewed,pass,,,,landscaper,v landscaper is constructing v rectangular garden bed that is # feet long and # feet wide they plan to fill the bed with soil to v uniform depth of # feet soil is sold in bags with
antigravity-081b5f45,antigravity-bank.json,11,antigravity,Math,Problem-Solving and Data Analysis,Percentages,Hard,student_produced_response,152,reviewed,public_candidate,public_candidate_reviewed,pass,,,,cookies,v bakery uses an oven that can bake # dozen cookies per hour after every # dozen cookies are baked the oven must be turned off for v # minute cool down period before it can be used
antigravity-56b3240f,antigravity-bank.json,12,antigravity,Math,Problem-Solving and Data Analysis,Percentages,Hard,student_produced_response,28,reviewed,public_candidate,public_candidate_reviewed,pass,,,,rectangular,v rectangular room has v length of # feet v width of # feet and v height of # feet the owner wants to paint only the four walls of the room there is one door that is # feet wide an
antigravity-15b60b30,antigravity-bank.json,13,antigravity,Math,Problem-Solving and Data Analysis,Percentages,Hard,student_produced_response,104.88,reviewed,public_candidate,public_candidate_reviewed,pass,,,,driver,v delivery driver earns v flat fee of # per day plus an additional # for each package delivered on v particular day the driver delivered # packages and drove v total of # miles if 
antigravity-25ff60af,antigravity-bank.json,14,antigravity,Math,Problem-Solving and Data Analysis,Percentages,Hard,student_produced_response,4.5,reviewed,public_candidate,public_candidate_reviewed,pass,,,,travels,v delivery truck completes v route in two stages in the first stage the truck travels # miles at an average speed of # miles per hour in the second stage the truck travels an addit
antigravity-a0473ecd,antigravity-bank.json,15,antigravity,Reading and Writing,Information and Ideas,Inferences,Hard,multiple_choice,C,reviewed,public_candidate,public_candidate_reviewed,pass,,,,thermal,recent research on coral reef ecosystems reveals that bleaching events during which corals expel their symbiotic zooxanthellae algae under thermal stress have increased in frequenc
antigravity-68fd8535,antigravity-bank.json,16,antigravity,Reading and Writing,Information and Ideas,Inferences,Hard,multiple_choice,D,reviewed,public_candidate,public_candidate_reviewed,pass,,,,information,cognitive load theory posits that working memory has v limited capacity for processing novel information experiments by sweller and colleagues demonstrated that students learning c
antigravity-73a2bd82,antigravity-bank.json,17,antigravity,Reading and Writing,Information and Ideas,Inferences,Hard,multiple_choice,B,reviewed,public_candidate,public_candidate_reviewed,pass,,,,depressive,emerging research on the gut brain axis suggests that the intestinal microbiome can influence neurological function through multiple pathways including vagus nerve signaling and th
antigravity-84fb0088,antigravity-bank.json,18,antigravity,Reading and Writing,Information and Ideas,Inferences,Hard,multiple_choice,C,reviewed,public_candidate,public_candidate_reviewed,pass,,,,matter,gravitational lensing the bending of light from distant galaxies by the gravitational field of intervening mass has become v critical tool for mapping the distribution of dark matt
antigravity-7e8a49fa,antigravity-bank.json,19,antigravity,Reading and Writing,Information and Ideas,Inferences,Hard,multiple_choice,A,reviewed,public_candidate,public_candidate_reviewed,pass,,,,bacteria,v study of antibiotic resistance in hospital settings found that bacteria exposed to sub inhibitory concentrations of antibiotics doses too low to kill the bacteria but sufficient 
