skeletonId,size,coreLimit,activeLimit,corePool,remedialPool,hiddenDuplicate,difficulty,section,domain,skill,questionType,sampleId,samplePrompt,skeletonKey
skel-580d3370,10,5,10,5,5,0,Medium,Math,Algebra,Systems of two linear equations in two variables,multiple_choice,kaplan-ai-math-030,"A system of equations is shown:

x + y = 5
x - y = 3

What is the value of x?",Medium|Math|Algebra|Systems of two linear equations in two variables|multiple_choice|a system of equations is shown : v + v = # v - v = # what is the value of x ?
skel-fa371ce0,10,5,10,5,5,0,Medium,Math,Algebra,Linear inequalities in one or two variables,multiple_choice,archive-ai-archive-signal-p-n-ies-sat-math-021,Which inequality represents the solution to 3x - 13 > 50?,Medium|Math|Algebra|Linear inequalities in one or two variables|multiple_choice|which inequality represents the solution to #v - # > # ?
skel-b7979752,10,5,10,5,5,0,Medium,Math,Algebra,Linear inequalities in one or two variables,multiple_choice,archive-ai-archive-signal-p-n-ies-sat-math-035,Which inequality represents the solution to 8x + 11 > 35?,Medium|Math|Algebra|Linear inequalities in one or two variables|multiple_choice|which inequality represents the solution to #v + # > # ?
skel-6591a667,10,5,10,5,5,0,Medium,Math,Algebra,Linear functions,multiple_choice,satking-math-037,"A line passes through (3, 1) and (7, 13). What is the slope of the line?","Medium|Math|Algebra|Linear functions|multiple_choice|a line passes through ( # , # ) and ( # , # ) . what is the slope of the line ?"
skel-90f6d1a6,10,5,10,5,5,0,Medium,Math,Advanced Math,Nonlinear equations in one variable and systems of equations in two variables,multiple_choice,kaplan-ai-math-097,The equation x^2 - 4x + 3 = 0 has two solutions. What is the greater solution?,Medium|Math|Advanced Math|Nonlinear equations in one variable and systems of equations in two variables|multiple_choice|the equation v^# - #v + # = # has two solutions . what is the greater solution ?
skel-bd7f7a56,10,5,10,5,5,0,Medium,Math,Advanced Math,Equivalent expressions,multiple_choice,kaplan-ai-math-125,"If f(x) = 2x + 3x and x = 1, what is f(x)?","Medium|Math|Advanced Math|Equivalent expressions|multiple_choice|if f ( v ) = #v + #x and v = # , what is f ( v ) ?"
skel-f2cccfe9,10,5,10,5,5,0,Medium,Math,Advanced Math,Nonlinear functions,multiple_choice,kaplan-ai-math-147,A quantity starts at 3 and is multiplied by 2 each year. What is its value after 2 years?,Medium|Math|Advanced Math|Nonlinear functions|multiple_choice|a quantity starts at # and is multiplied by # each year . what is its value after # years ?
skel-944a69b5,10,5,10,5,5,0,Medium,Math,Problem-Solving and Data Analysis,Percentages,multiple_choice,kaplan-ai-math-171,A price of $100 is increased by 20%. What is the new price?,Medium|Math|Problem-Solving and Data Analysis|Percentages|multiple_choice|a price of # is increased by # . what is the new price ?
skel-85b17785,10,5,10,5,5,0,Medium,Math,Problem-Solving and Data Analysis,"Ratios, rates, proportional relationships, and units",multiple_choice,kaplan-ai-math-191,"The ratio of red tiles to blue tiles is 2:3. If there are 20 tiles total, how many blue tiles are there?","Medium|Math|Problem-Solving and Data Analysis|Ratios, rates, proportional relationships, and units|multiple_choice|the ratio of red tiles to blue tiles is # : # . if there are # tiles total , how many blue tiles are there ?"
skel-ef91aac2,10,5,10,5,5,0,Medium,Math,Problem-Solving and Data Analysis,One-variable data: distributions and measures of center and spread,multiple_choice,kaplan-ai-math-211,"The mean of five numbers is 12. Four of the numbers are 4, 8, 10, and 14. What is the fifth number?","Medium|Math|Problem-Solving and Data Analysis|One-variable data: distributions and measures of center and spread|multiple_choice|the mean of five numbers is # . four of the numbers are # , # , # , and # . what is the fifth number ?"
skel-6a7e1154,10,5,10,5,5,0,Medium,Math,Geometry and Trigonometry,Circles,multiple_choice,kaplan-ai-math-247,A circular practice target has radius 12. What is its area?,Medium|Math|Geometry and Trigonometry|Circles|multiple_choice|a circular practice target has radius # . what is its area ?
skel-9387998f,10,3,10,3,7,0,Easy,Math,Geometry and Trigonometry,"Lines, angles, and triangles",multiple_choice,kaplan-ai-math-265,"Two angles of a triangle measure 35 degrees and 45 degrees. What is the measure, in degrees, of the third angle?","Easy|Math|Geometry and Trigonometry|Lines, angles, and triangles|multiple_choice|two angles of a triangle measure # degrees and # degrees . what is the measure , in degrees , of the third angle ?"
