sourceIndex,id,status,currentDomain,currentSkill,inferredDomain,inferredSkill,difficulty,correctAnswer,correctText,oldCorrectWords,oldCorrectMeetsMinimum,flagCount,flags
580,b87e29a5,safe_to_upgrade,Standard English Conventions,Boundaries,Standard English Conventions,Boundaries,Medium,D,"The study found that the majority of participants who did not use the program reported that it would have been ""helpful"" to their work. T...",13,False,0,
198,c72d79e2,safe_to_upgrade,Standard English Conventions,Boundaries,Standard English Conventions,Boundaries,Medium,B,separate the dependent clause from the independent clause.,17,False,0,
1343,random_id_a9,needs_metadata_or_quality_review,Standard English Conventions,Boundaries,Craft and Structure,Words in Context,Medium,C,indicate that the artist's accomplishments are not limited to the examples given.,17,False,2,domain_mismatch:Standard English Conventions->Craft and Structure;skill_mismatch:Boundaries->Words in Context
98,random_id_e7,safe_to_upgrade,Craft and Structure,Text Structure and Purpose,Craft and Structure,Text Structure and Purpose,Medium,C,introduce the main idea that will be developed in the paragraph.,21,False,0,
1314,956f234a,needs_metadata_or_quality_review,Standard English Conventions,Boundaries,Craft and Structure,Words in Context,Medium,B,convey the energy and excitement of the city.,22,False,2,domain_mismatch:Standard English Conventions->Craft and Structure;skill_mismatch:Boundaries->Words in Context
730,d6f6f68d,needs_metadata_or_quality_review,Standard English Conventions,"Form, Structure, and Sense",Craft and Structure,Words in Context,Medium,A,results,22,False,2,"domain_mismatch:Standard English Conventions->Craft and Structure;skill_mismatch:Form, Structure, and Sense->Words in Context"
1313,27b12601,safe_to_upgrade,Information and Ideas,Central Ideas and Details,Information and Ideas,Central Ideas and Details,Medium,A,"The internet is a valuable resource for learning new things, but it is important to be careful about the information you find online.",23,False,0,
855,6e7664a7,safe_to_upgrade,Standard English Conventions,Boundaries,Standard English Conventions,Boundaries,Medium,B,unnecessary,23,False,0,
669,e32f468a,safe_to_upgrade,Standard English Conventions,Boundaries,Standard English Conventions,Boundaries,Medium,C,"The scientist concluded that climate change was affecting the frogs' reproductive rates, but the frogs that lived in cooler, wetter envir...",23,False,0,
298,random_id_a12,safe_to_upgrade,Information and Ideas,Central Ideas and Details,Information and Ideas,Central Ideas and Details,Medium,B,the origins and development of Cubism.,23,False,0,
565,random_id_a9,safe_to_upgrade,Craft and Structure,Text Structure and Purpose,Craft and Structure,Text Structure and Purpose,Medium,B,help the reader visualize the setting.,23,False,0,
1194,random_id_e2,safe_to_upgrade,Craft and Structure,Text Structure and Purpose,Craft and Structure,Text Structure and Purpose,Medium,B,develop a sense of the speaker's emotional state.,23,False,0,
409,e7275b51,safe_to_upgrade,Craft and Structure,Text Structure and Purpose,Craft and Structure,Text Structure and Purpose,Medium,B,emphasize the character’s speed and energy.,24,False,0,
252,random_id_a5,needs_metadata_or_quality_review,Craft and Structure,Text Structure and Purpose,Craft and Structure,Words in Context,Medium,C,highlight the challenges of becoming a writer.,24,False,1,skill_mismatch:Text Structure and Purpose->Words in Context
