"id","topicId","patternId","level","sourceFile","displayMode","interaction","priority","promptPreview"
"math10.math10.algebra.logic_sets.d10_c1_b1_menh_de_pdf.q1","math10.algebra.logic_sets","math10.logic.implication.p2","core","D10_C1_B1_Menh De.pdf","text","open_response","manual_or_cas_solver","BÀI 1: MỆNH ĐỀ I – Lí THUYẾT 1. Mệnh đề - Mệnh đề là một cõu khẳng định đỳng hoặc một cõu khẳng định sai. - Một mệnh đề khụng thể vừa đỳng, vừa sai. 2. Phủ định của một mệnh đề - Kớ hiệu mệnh đề phủ định của mệnh đề P là P. + P đỳng khi P s"
"math10.math10.algebra.logic_sets.d10_c1_b1_menh_de_pdf.q4","math10.algebra.logic_sets","math10.logic.identify.p1","foundation","D10_C1_B1_Menh De.pdf","text","open_response","manual_or_cas_solver","cõu c), f) khụng là mệnh đề vỡ khụng phải là cõu khẳng định. Cõu g) là mệnh đề chứa biến."
"math10.math10.assessment.integrated_review.d10_c1_b1_menh_de_pdf.q10","math10.assessment.integrated_review","math10.review.mixed_exam.p2","core","D10_C1_B1_Menh De.pdf","text","open_response","manual_or_cas_solver","Câu 4: Các câu nào sau đây là khẳng định có tính đúng sai? a) Hoa ăn cơm chưa? b) Bé Lan xinh quá! c) 5 là số nguyên tố. d) ( x^2 - 9 ) chia"
"math10.math10.algebra.logic_sets.d10_c1_b1_menh_de_pdf.q16","math10.algebra.logic_sets","math10.logic.identify.p1","foundation","D10_C1_B1_Menh De.pdf","text","open_response","manual_or_cas_solver","Vớ dụ 2: Trong cỏc cõu sau, cõu nào là mệnh đề đỳng? A. Nếu a ≥ b thỡ a^2 ≥ b^2. B. Nếu a chia"
"math10.math10.algebra.logic_sets.d10_c1_b1_menh_de_pdf.q19","math10.algebra.logic_sets","math10.logic.implication.p2","core","D10_C1_B1_Menh De.pdf","text","choice_like","auto_solver_next","Cõu 1: Trong cỏc mệnh đề sau, mệnh đề nào là mệnh đề sai? A. Hai tam giỏc bằng nhau khi và chỉ khi chỳng đồng dạng và cú một gúc bằng nhau. B. Một tứ giỏc là hỡnh chữ nhật khi và chỉ khi chỳng cú 3 gúc vuụng. C. Một tam giỏc là vuụng khi và"
"math10.math10.algebra.logic_sets.d10_c1_b1_menh_de_pdf.q20","math10.algebra.logic_sets","math10.logic.identify.p1","foundation","D10_C1_B1_Menh De.pdf","text","choice_like","auto_solver_next","Cõu 2: Trong cỏc mệnh đề sau, mệnh đề nào sai? A. Tất cả cỏc số tự nhiờn đều khụng õm. B. Nếu tứ giỏc ABCD cú hai đường chộo cắt nhau tại trung điểm mỗi đường thỡ tứ giỏc ABCD là hỡnh bỡnh hành. C. Nếu tứ giỏc ABCD là hỡnh chữ nhật thỡ tứ g"
"math10.math10.algebra.logic_sets.d10_c1_b1_menh_de_pdf.q21","math10.algebra.logic_sets","math10.logic.identify.p1","foundation","D10_C1_B1_Menh De.pdf","text","open_response","manual_or_cas_solver","Câu 3: Mệnh đề nào sau đây sai? A. 20 chia"
"math10.math10.algebra.logic_sets.d10_c1_b1_menh_de_pdf.q22","math10.algebra.logic_sets","math10.logic.identify.p1","foundation","D10_C1_B1_Menh De.pdf","text","choice_like","auto_solver_next","Câu 4: Trong các mệnh đề sau, tìm mệnh đề đúng? A. π < 2. B. π2 > 16. C. 23 > 5. D. 25 ≥ 5."
"math10.math10.algebra.logic_sets.d10_c1_b1_menh_de_pdf.q23","math10.algebra.logic_sets","math10.logic.identify.p1","foundation","D10_C1_B1_Menh De.pdf","text","choice_like","auto_solver_next","Cõu 5: Tỡm mệnh đề đỳng. A. 3 + 6 ≤ 8. B. 15 > 4. C. x ∈ ℝ, x^2 > 0. D. “Tam giỏc cõn cú một gúc bằng 60 0 là tam giỏc đều”. THễNG HIỂU:"
"math10.math10.algebra.logic_sets.d10_c1_b1_menh_de_pdf.q24","math10.algebra.logic_sets","math10.logic.identify.p1","foundation","D10_C1_B1_Menh De.pdf","text","choice_like","auto_solver_next","Câu 6: Xét các phát biểu sau: 1 + 1 = 2. π > 3.12. x ∈ ℝ: x^2 ≥ 0. x + y = 5. Có bao nhiêu mệnh đề đúng trong các mệnh đề trên? A. 1. B. 2. C. 3. D. 4."
"math10.math10.algebra.logic_sets.d10_c1_b1_menh_de_pdf.q25","math10.algebra.logic_sets","math10.logic.identify.p1","foundation","D10_C1_B1_Menh De.pdf","text","open_response","manual_or_cas_solver","Câu 7: Trong các mệnh đề sau, câu nào là mệnh đề nào sai? A. Số nguyên tố lớn hơn 2 là số lẻ. B. Số tự nhiên có chữ số tận cùng là 0 hoặc 5 thì chia"
"math10.math10.algebra.logic_sets.d10_c1_b1_menh_de_pdf.q26","math10.algebra.logic_sets","math10.logic.identify.p1","foundation","D10_C1_B1_Menh De.pdf","text","choice_like","auto_solver_next","Vớ dụ 1: Trong cỏc cõu sau, cõu nào khụng là mệnh đề chứa biến? A. 15 là số nguyờn tố. B. a + b = c. C. x^2 + x = 0. D. 2 n + 1 chia"
"math10.math10.algebra.logic_sets.d10_c1_b1_menh_de_pdf.q29","math10.algebra.logic_sets","math10.logic.identify.p1","foundation","D10_C1_B1_Menh De.pdf","text","open_response","manual_or_cas_solver","Câu 1: Cho mệnh đề chứa biến P ( n ):“ n 2 − 1 chia"
"math10.math10.algebra.logic_sets.d10_c1_b1_menh_de_pdf.q30","math10.algebra.logic_sets","math10.logic.identify.p1","foundation","D10_C1_B1_Menh De.pdf","text","open_response","manual_or_cas_solver","Câu 2: Xét câu: P ( n ): “ n chia"
"math10.math10.algebra.logic_sets.d10_c1_b1_menh_de_pdf.q38","math10.algebra.logic_sets","math10.logic.identify.p1","foundation","D10_C1_B1_Menh De.pdf","source_snippet_repair","open_response","image_dependent_review","Đọc đề gốc đã phục hồi từ tài liệu trong hình dưới đây. {{formula:/assets/math10/figures/math10-math10-algebra-logic-sets-d10-c1-b1-menh-de-pdf-q38.png|w=904|h=227}}"
"math10.math10.algebra.logic_sets.d10_c1_b1_menh_de_pdf.q39","math10.algebra.logic_sets","math10.logic.identify.p1","foundation","D10_C1_B1_Menh De.pdf","text","choice_like","auto_solver_next","Câu 11: Tìm tất cả các giá trị thực của x để mệnh đề P:“2 x −≥1 0” là mệnh đề sai? 1 1 1 1 A. x >. B. x ≥. C. x <. D. x ≤. 2 2 2 2"
"math10.math10.algebra.logic_sets.d10_c1_b1_menh_de_pdf.q40","math10.algebra.logic_sets","math10.logic.identify.p1","foundation","D10_C1_B1_Menh De.pdf","source_snippet_repair","open_response","image_dependent_review","Đọc đề gốc đã phục hồi từ tài liệu trong hình dưới đây. {{formula:/assets/math10/figures/math10-math10-algebra-logic-sets-d10-c1-b1-menh-de-pdf-q40.png|w=904|h=227}}"
"math10.math10.algebra.logic_sets.d10_c1_b1_menh_de_pdf.q43","math10.algebra.logic_sets","math10.logic.identify.p1","foundation","D10_C1_B1_Menh De.pdf","text","open_response","manual_or_cas_solver","Vớ dụ 2: Mệnh đề phủ định của mệnh đề “14 là số nguyờn tố” là mệnh đề: A. 14 là số nguyờn tố. B. 14 chia"
"math10.math10.algebra.logic_sets.d10_c1_b1_menh_de_pdf.q45","math10.algebra.logic_sets","math10.logic.identify.p1","foundation","D10_C1_B1_Menh De.pdf","text","choice_like","auto_solver_next","Cõu 1: Chọn khẳng định sai. A. Mệnh đề P và mệnh đề phủ định P, nếu P đỳng thỡ P sai và điều ngược lại chắc đỳng. B. Mệnh đề P và mệnh đề phủ định P là hai cõu trỏi ngược nhau. C. Mệnh đề phủ định của mệnh đề P là mệnh đề khụng phải P được "
"math10.math10.algebra.logic_sets.d10_c1_b1_menh_de_pdf.q48","math10.algebra.logic_sets","math10.logic.identify.p1","foundation","D10_C1_B1_Menh De.pdf","text","open_response","manual_or_cas_solver","Cõu 4: Lập mệnh đề phủ định của mệnh đề: “ Số 6 chia"
"math10.math10.algebra.logic_sets.d10_c1_b1_menh_de_pdf.q49","math10.algebra.logic_sets","math10.logic.identify.p1","foundation","D10_C1_B1_Menh De.pdf","text","open_response","manual_or_cas_solver","Cõu 5: Tỡm mệnh đề phủ định của mệnh đề: “9 chia"
"math10.math10.algebra.logic_sets.d10_c1_b1_menh_de_pdf.q56","math10.algebra.logic_sets","math10.logic.implication.p2","core","D10_C1_B1_Menh De.pdf","text","choice_like","auto_solver_next","Cõu 2: Cỏch phỏt biểu nào sau đõy khụng thể dựng để phỏt biểu mệnh đề: A ⇒ B. A. Nếu A thỡ B. B. A kộo theo B. C. A là điều kiện đủ để cú B. D. A là điều kiện cần để cú B"
"math10.math10.algebra.logic_sets.d10_c1_b1_menh_de_pdf.q57","math10.algebra.logic_sets","math10.logic.implication.p2","core","D10_C1_B1_Menh De.pdf","text","choice_like","auto_solver_next","Câu 3: Cho mệnh đề: “Nếu a và b là hai số hữu tỉ thì a + b là số hữu tỉ”. Chọn khẳng định sai. A. Điều kiện cần để a + b là số hữu tỉ là cả hai số a và b đều là số hữu tỉ. B. Điều kiện đủ để a + b là số hữu tỉ là cả hai số a và b đều là số "
"math10.math10.algebra.logic_sets.d10_c1_b1_menh_de_pdf.q58","math10.algebra.logic_sets","math10.logic.identify.p1","foundation","D10_C1_B1_Menh De.pdf","text","open_response","manual_or_cas_solver","Câu 4: Cho mệnh đề: “Nếu hai số nguyên a và b chia"
"math10.math10.algebra.logic_sets.d10_c1_b1_menh_de_pdf.q59","math10.algebra.logic_sets","math10.logic.implication.p2","core","D10_C1_B1_Menh De.pdf","text","choice_like","auto_solver_next","Câu 5: Cho mệnh đề: “Nếu tứ giác là hình thoi thì tứ giác đó nội tiếp được một đường tròn”. Trong các mệnh đề sau, mệnh đề nào đúng? A. Điều kiện đủ để tứ giác là hình thoi là trong tứ giác đó nội tiếp được một đường tròn. B. Điều kiện đủ đ"
"math10.math10.algebra.logic_sets.d10_c1_b1_menh_de_pdf.q60","math10.algebra.logic_sets","math10.logic.identify.p1","foundation","D10_C1_B1_Menh De.pdf","text","open_response","manual_or_cas_solver","Câu 6: Cho mệnh đề: “Nếu một số tự nhiên chia"
"math10.math10.algebra.logic_sets.d10_c1_b1_menh_de_pdf.q61","math10.algebra.logic_sets","math10.logic.implication.p2","core","D10_C1_B1_Menh De.pdf","text","choice_like","auto_solver_next","Câu 7: Cho mệnh đề: “Nếu 2 góc ở vị trí so le trong thì hai góc đó bằng nhau”. Trong các mệnh đề sau, mệnh đề nào sai? A. 2 góc ở vị trí so le trong là điều kiện đủ để hai góc đó bằng nhau. B. 2 góc ở vị trí so le trong là điều kiện cần để "
"math10.math10.algebra.logic_sets.d10_c1_b1_menh_de_pdf.q62","math10.algebra.logic_sets","math10.logic.identify.p1","foundation","D10_C1_B1_Menh De.pdf","text","open_response","manual_or_cas_solver","Cõu 8: Cho mệnh đề: “Nếu x chia"
"math10.math10.algebra.logic_sets.d10_c1_b1_menh_de_pdf.q64","math10.algebra.logic_sets","math10.logic.identify.p1","foundation","D10_C1_B1_Menh De.pdf","text","open_response","manual_or_cas_solver","Ví dụ 2: Trong các mệnh đề sau, mệnh đề nào có mệnh đề đảo là sai? A. Tam giác cân có hai cạnh bằng nhau. B. x chia"
"math10.math10.algebra.logic_sets.d10_c1_b1_menh_de_pdf.q65","math10.algebra.logic_sets","math10.logic.identify.p1","foundation","D10_C1_B1_Menh De.pdf","text","open_response","manual_or_cas_solver","Cõu 1: Cho mệnh đề: “Nếu hai số nguyờn chia"
"math10.math10.algebra.logic_sets.d10_c1_b1_menh_de_pdf.q69","math10.algebra.logic_sets","math10.logic.identify.p1","foundation","D10_C1_B1_Menh De.pdf","text","open_response","manual_or_cas_solver","Câu 5: Trong các mệnh đề sau đây, mệnh đề nào có mệnh đề đảo là đúng? A. Nếu a và b cùng chia"
"math10.math10.algebra.logic_sets.d10_c1_b1_menh_de_pdf.q70","math10.algebra.logic_sets","math10.logic.identify.p1","foundation","D10_C1_B1_Menh De.pdf","text","choice_like","auto_solver_next","Cõu 6: Trong cỏc mệnh đề sau, mệnh đề nào cú mệnh đề đảo đỳng? A. Nếu một tứ giỏc là hỡnh thang cõn thỡ tứ giỏc đú cú hai đường chộo vuụng gúc với nhau. B. Nếu hai tam giỏc bằng nhau là chỳng cú cỏc gúc tương ứng bằng nhau. C. Nếu tam giỏc "
