ordinal,id,originalReviewStatus,decision,section,domain,skill,difficulty,questionType,schemaChanges,blockers,issues,warnings,depthFlags,mathIssues,mathWarnings,requiredAction,promptPreview
6071,antigravity-hard-2d00f5d3,reviewed,reviewed_pass,Math,Advanced Math,Systems of equations in two variables,Hard,multiple_choice,,,,,,,,Ready.,x²+y²=25 and y=x-1. Sum of x-values at intersection?
6072,antigravity-hard-6f8403ef,reviewed,reviewed_pass,Math,Advanced Math,Systems of equations in two variables,Hard,multiple_choice,,,,,,,,Ready.,y=|x-2| and y=3. How many solutions?
6073,antigravity-hard-6241c837,reviewed,reviewed_pass,Math,Advanced Math,Systems of equations in two variables,Hard,multiple_choice,,,,,,,,Ready.,System: y=x³ and y=8. Value of x?
6074,antigravity-hard-3d757e96,reviewed,reviewed_pass,Math,Advanced Math,Systems of equations in two variables,Hard,multiple_choice,,,,,,,,Ready.,y=√(x+4) and y=x+2. Find x.
6075,antigravity-hard-3c810b11,reviewed,reviewed_pass,Math,Advanced Math,Systems of equations in two variables,Hard,multiple_choice,,,,,,,,Ready.,"If x+y=10 and xy=21, find x²+y²."
6076,antigravity-hard-41af31a4,reviewed,reviewed_pass,Math,Advanced Math,Systems of equations in two variables,Hard,multiple_choice,,,,,,,,Ready.,"y=2ˣ and y=x+2. At x=0, which is larger?"
6077,antigravity-hard-8fe67dd2,reviewed,reviewed_pass,Math,Advanced Math,Systems of equations in two variables,Hard,multiple_choice,,,,,,,,Ready.,System: y=1/(x-1) and y=2. Solution x?
6078,antigravity-hard-2511eae7,reviewed,reviewed_pass,Math,Advanced Math,Systems of equations in two variables,Hard,multiple_choice,,,,,,,,Ready.,y=x²+1 and y=-x²+9. Intersection x-values?
6079,antigravity-hard-f2d27673,reviewed,reviewed_pass,Math,Advanced Math,Systems of equations in two variables,Hard,multiple_choice,,,,,,,,Ready.,y=ln(x) and y=0. Solution?
6080,antigravity-hard-68f3997f,reviewed,reviewed_pass,Math,Advanced Math,Systems of equations in two variables,Hard,multiple_choice,,,,,,,,Ready.,x²-y²=0 and x+y=6. Solutions?
6081,antigravity-hard-8a51c597,reviewed,reviewed_pass,Math,Advanced Math,Systems of equations in two variables,Hard,multiple_choice,,,,,,,,Ready.,y=e^x and y=e. Solution?
6082,antigravity-hard-202d09a8,reviewed,reviewed_pass,Math,Advanced Math,Systems of equations in two variables,Hard,multiple_choice,,,,,,,,Ready.,"If y=x² and y=ax intersect at (4,16) and origin, what is a?"
6083,antigravity-hard-8447de75,reviewed,reviewed_pass,Math,Advanced Math,Systems of equations in two variables,Hard,multiple_choice,,,,,,,,Ready.,System: y=4/x and y=x-3. Positive x-solution?
6084,antigravity-hard-algebra-systems-word-1,reviewed,reviewed_pass,Math,Algebra,Systems of two linear equations in two variables,Hard,multiple_choice,,,,,,,,Ready.,"A metallurgist wants to make 120 grams of an alloy that is 45% silver by mass. She has two alloys available: Alloy A, which is 30% silver by mass, and Alloy B, "
6085,antigravity-hard-algebra-systems-param-1,reviewed,reviewed_pass,Math,Algebra,Systems of two linear equations in two variables,Hard,multiple_choice,,,,,,,,Ready.,"(k - 1)x + 4y = 10 3x + (k + 3)y = 15  In the given system of equations, k is a constant. If the system has no solution, what is the value of k?"
